,favorite_count,followers_count,retweet_count,tweet_id
2100,11400,3768991,5500,670668383499735048
2101,1630,3768991,830,670474236058800128
2102,371,3768991,90,670468609693655041
2103,1038,3768991,604,670465786746662913
2104,577,3768991,223,670452855871037440
2105,1261,3768991,728,670449342516494336
2106,7091,3768992,2142,670444955656130560
2107,689,3768992,211,670442337873600512
2108,1124,3768992,566,670435821946826752
2109,1495,3768992,702,670434127938719744
2110,343,3768992,122,670433248821026816
2111,1480,3768992,689,670428280563085312
2112,547,3768992,178,670427002554466305
2113,1408,3768992,701,670421925039075328
2114,667,3768993,339,670420569653809152
2115,603,3768993,348,670417414769758208
2116,2169,3768993,985,670411370698022913
2117,596,3768993,246,670408998013820928
2118,456,3768993,173,670403879788544000
2119,591,3768994,233,670385711116361728
2120,784,3768994,292,670374371102445568
2121,343,3768994,71,670361874861563904
2122,447,3768995,120,670338931251150849
2123,4087,3768995,1348,670319130621435904
2124,450,3768995,151,670303360680108032
2125,748,3768995,312,670290420111441920
2126,1102,3768995,363,670093938074779648
2127,737,3768995,274,670086499208155136
2128,2379,3768995,1362,670079681849372674
2129,1667,3768995,866,670073503555706880
2130,672,3768996,275,670069087419133954
2131,819,3768996,372,670061506722140161
2132,711,3768997,357,670055038660800512
2133,683,3768997,191,670046952931721218
2134,798,3768997,118,670040295598354432
2135,621,3768997,305,670037189829525505
2136,350,3768997,100,670003130994700288
2137,342,3768997,91,669993076832759809
2138,469,3768997,175,669972011175813120
2139,317,3768997,65,669970042633789440
2140,533,3768997,182,669942763794931712
2141,398,3768997,113,669926384437997569
2142,248,3768997,62,669923323644657664
2143,853,3768997,430,669753178989142016
2144,287,3768997,71,669749430875258880
2145,551,3768997,98,669684865554620416
2146,411,3768997,118,669683899023405056
2147,374,3768997,144,669682095984410625
2148,709,3768997,310,669680153564442624
2149,854,3768997,478,669661792646373376
2150,3754,3768997,1956,669625907762618368
2151,1003,3768997,397,669603084620980224
2152,548,3768997,163,669597912108789760
2153,1580,3768998,1012,669583744538451968
2154,465,3768999,156,669573570759163904
2155,1677,3768999,1077,669571471778410496
2156,248,3769000,61,669567591774625800
2157,408,3769000,132,669564461267722241
2158,384,3769000,82,669393256313184256
2159,1420,3769001,786,669375718304980992
2160,520,3769001,196,669371483794317312
2161,484,3769002,171,669367896104181761
2162,663,3769001,249,669363888236994561
2163,388,3769001,134,669359674819481600
2164,2876,3769001,1385,669354382627049472
2165,688,3769001,279,669353438988365824
2166,471,3769001,207,669351434509529089
2167,1074,3769001,450,669328503091937280
2168,607,3769001,126,669327207240699904
2169,520,3769001,222,669324657376567296
2170,956,3769001,419,669216679721873412
2171,467,3769001,182,669214165781868544
2172,1069,3769001,519,669203728096960512
2173,692,3769001,333,669037058363662336
2174,782,3769001,402,669015743032369152
2175,608,3769001,269,669006782128353280
2176,22047,3769002,6925,669000397445533696
2177,465,3769002,252,668994913074286592
2178,795,3769002,379,668992363537309700
2179,720,3769002,353,668989615043424256
2180,958,3769002,513,668988183816871936
2181,577,3769002,182,668986018524233728
2182,570,3769003,336,668981893510119424
2183,836,3769003,378,668979806671884288
2184,1381,3769004,635,668975677807423489
2185,161,3769005,25,668967877119254528
2186,753,3769005,263,668960084974809088
2187,298,3769005,77,668955713004314625
2188,282,3769005,62,668932921458302977
2189,335,3769005,107,668902994700836864
2190,419,3769005,163,668892474547511297
2191,560,3769005,321,668872652652679168
2192,478,3769006,179,668852170888998912
2193,465,3769007,150,668826086256599040
2194,608,3769007,290,668815180734689280
2195,745,3769007,405,668779399630725120
2196,559,3769007,233,668655139528511488
2197,953,3769163,586,668645506898350081
2198,935,3769007,574,668643542311546881
2199,1136,3769007,572,668641109086707712
