favorite_count,followers_count,retweet_count,tweet_id
13909,3768836,2611,837471256429613056
22964,3768836,5969,837366284874571778
17408,3768836,2718,837110210464448512
1392,3768836,86,837012587749474308
13823,3768836,2598,836989968035819520
20944,3768836,5201,836753516572119041
13733,3768836,2511,836677758902222849
7078,3768836,622,836648853927522308
57371,3768836,31140,836397794269200385
15976,3768836,3321,836380477523124226
23100,3768836,4832,836260088725786625
20840,3768836,4901,836001077879255040
29595,3768837,9272,835685285446955009
19379,3768838,4097,835574547218894849
8467,3768838,1930,835536468978302976
40913,3768838,23870,835309094223372289
17791,3768838,3368,835297930240217089
8467,3768838,1930,835264098648616962
2248,3768838,82,835246439529840640
28461,3768838,6493,835172783151792128
24478,3768838,3425,835152434251116546
11791,3768838,1872,834931633769889797
22874,3768838,6132,834786237630337024
14939,3768838,2868,834574053763584002
34779,3768838,12146,834477809192075265
10482,3768839,1893,834458053273591808
22505,3768839,5442,834209720923721728
17141,3768840,4111,834167344700198914
10957,3768840,2420,834089966724603904
14240,3768840,2504,834086379323871233
14594,3768840,2717,833863086058651648
16661,3768839,3886,833826103416520705
2149,3768840,250,833732339549220864
22501,3768840,3626,833722901757046785
16193,3768840,2345,833479644947025920
22062,3768840,5490,833124694597443584
14506,3768840,2508,832998151111966721
1460,3768840,44,832769181346996225
18356,3768840,4109,832757312314028032
12969,3768840,3348,832682457690300417
3185,3768840,590,832645525019123713
17310,3768840,3202,832636094638288896
13067,3768840,2533,832397543355072512
18715,3768841,3634,832369877331693569
12339,3768841,2657,832273440279240704
20221,3768840,7033,832215909146226688
27474,3768840,10673,832215726631055365
72,3768840,3,832088576586297345
34822,3768840,11050,832040443403784192
13826,3768840,4720,832032802820481025
26297,3768840,6992,831939777352105988
369,3768840,39,831926988323639298
30248,3768841,7409,831911600680497154
11439,3768842,2053,831670449226514432
7868,3768966,2226,831650051525054464
9843,3768843,2620,831552930092285952
10011,3768844,1737,831322785565769729
7087,3768843,1261,831315979191906304
12777,3768843,2772,831309418084069378
13018,3768844,2338,831262627380748289
8705,3768844,1725,830956169170665475
73157,3768846,19188,830583320585068544
22165,3768846,6519,830173239259324417
10769,3768846,3441,830097400375152640
23675,3768846,5734,829878982036299777
13402,3768846,2234,829861396166877184
34779,3768846,12146,829501995190984704
11484,3768846,2319,829449946868879360
37930,3768846,10647,829374341691346946
26859,3768846,8486,829141528400556032
58067,3768846,18527,829011960981237760
16308,3768847,3880,828801551087042563
27990,3768848,6713,828770345708580865
40107,3768848,12811,828708714936930305
10437,3768848,1540,828650029636317184
6873,3768848,1300,828409743546925057
8368,3768848,1468,828408677031882754
13819,3768848,2540,828381636999917570
8084,3768849,1210,828376505180889089
13706,3768849,3325,828372645993398273
2401,3768849,194,828361771580813312
12887,3768851,3245,828046555563323392
11364,3768851,2441,828011680017821696
22098,3768851,5958,827933404142436356
16917,3768851,3414,827653905312006145
8125,3768851,1080,827600520311402496
17444,3768851,3490,827324948884643840
25970,3768851,13452,827228250799742977
11609,3768851,2566,827199976799354881
23675,3768851,5734,826958653328592898
40170,3768851,11805,826848821049180160
17181,3768851,4498,826615380357632002
5617,3768851,292,826598799820865537
11076,3768851,2701,826598365270007810
20201,3768851,4801,826476773533745153
14564,3768851,2957,826240494070030336
5340,3768851,1070,826204788643753985
17239,3768851,3584,826115272272650244
11481,3768851,2138,825876512159186944
13974,3768851,2837,825829644528148480
56199,3768851,19563,825535076884762624
20129,3768851,5223,825147591692263424
6991,3768851,1477,825120256414846976
6991,3768851,1477,825026590719483904
18062,3768852,6262,824796380199809024
16440,3768852,4042,824775126675836928
11068,3768852,1986,824663926340194305
12961,3768852,11791,824325613288833024
16567,3768853,4442,824297048279236611
5234,3768853,675,824025158776213504
11712,3768853,3110,823939628516474880
33358,3768854,12874,823719002937630720
13786,3768855,2764,823699002998870016
14336,3768855,3020,823581115634085888
773,3768855,30,823333489516937216
17363,3768855,4615,823322678127919110
38696,3768855,11350,823269594223824897
19071,3768855,3936,822975315408461824
132318,3768855,47958,822872901745569793
14526,3768855,2611,822859134160621569
20023,3768855,7349,822647212903690241
16259,3768855,3409,822610361945911296
20023,3768855,7349,822489057087389700
31684,3768855,17089,822462944365645825
38696,3768856,11350,822244816520155136
17100,3768856,5529,822163064745328640
12529,3768856,2682,821886076407029760
13464,3768856,3810,821813639212650496
9285,3768856,1893,821765923262631936
8842,3768856,2021,821522889702862852
18547,3768856,6424,821421320206483457
13026,3768856,5031,821407182352777218
278,3768857,10,821153421864615936
9678,3768857,2309,821149554670182400
10596,3768857,2477,821107785811234820
13974,3768857,2622,821044531881721856
25548,3768857,7694,820837357901512704
34862,3768857,11466,820749716845686786
13476,3768857,3699,820690176645140481
3696,3768857,646,820494788566847489
17024,3768857,2968,820446719150292993
3696,3768857,646,820314633777061888
21891,3768857,7216,820078625395449857
5905,3768857,1361,820013781606658049
5903,3768858,1361,819952236453363712
14243,3768858,5576,819924195358416896
14863,3768858,3583,819711362133872643
10556,3768858,2259,819588359383371776
7982,3768858,1377,819347104292290561
2539,3768857,459,819238181065359361
25548,3768857,7694,819227688460238848
95138,3768857,42045,819015337530290176
49786,3768857,21699,819015331746349057
49786,3768857,21699,819006400881917954
95138,3768857,42045,819004803107983360
47106,3768857,23959,818646164899774465
24481,3768857,8527,818627210458333184
10920,3768858,2965,818614493328580609
24461,3768858,7085,818588835076603904
12086,3768858,2864,818536468981415936
33829,3768858,9331,818307523543449600
12163,3768858,2611,818259473185828864
13621,3768859,2993,818145370475810820
5337,3768859,902,817908911860748288
